ind_id	tissue	score	n_genes_with_expr	contrast	tissue_shuffled
C0039240	Liver	2.7423893734377778	8	1.6786698605750467	Minor Salivary Gland
C0026764	Lung	4.073197442014695	1065	0.826150377244105	Colon - Sigmoid
C0334634	Cells - EBV-transformed lymphocytes	4.042578772170611	290	0.8803026556311333	Brain - Putamen (basal ganglia)
C0030567	Nerve - Tibial	3.771174839873818	632	0.4685536351206516	Brain - Cortex
C0242422	Brain - Cerebellum	3.930392375725906	182	0.5274921471202885	Fallopian Tube
C0020649	Pituitary	2.7256051889275894	65	0.5025591811357493	Lung
C0150055	Testis	2.3023505459708233	39	0.5121653603655949	Thyroid
C0029408	Lung	4.26590461062114	776	0.9064814367914513	Cervix - Ectocervix
C0030193	Lung	2.8559295905170408	167	0.6673243852933379	Brain - Anterior cingulate cortex (BA24)
C0019357	Lung	6.1718516352553525	14	2.534998720700429	Skin - Not Sun Exposed (Suprapubic)
C0028840	Nerve - Tibial	3.9831242220553147	41	0.8838900180325107	Kidney - Medulla
C0919659	Lung	3.8324799069101076	5	1.364643097798714	Minor Salivary Gland
C0700345	Brain - Spinal cord (cervical c-1)	2.9082843846084563	8	1.2812559927139906	Artery - Tibial
C0006849	Spleen	3.4779100115923822	24	0.9230287565011195	Brain - Nucleus accumbens (basal ganglia)
C0006848	Brain - Hypothalamus	2.072789948919106	8	0.8187740408562021	Pancreas
C0239295	Lung	2.2122273570307835	6	0.8060024719257375	Skin - Not Sun Exposed (Suprapubic)
C0085436	Whole Blood	3.597175704516281	5	2.394789565389178	Cervix - Ectocervix
C0877445	Whole Blood	4.075241956908017	9	2.3196716016918364	Prostate
C0153252	Spleen	4.4432219582760295	34	1.8137921738735359	Skin - Sun Exposed (Lower leg)
C0021400	Lung	4.170654621996533	410	0.9484751813693921	Breast - Mammary Tissue
C0012546	Lung	3.0052799388036346	67	0.632086816462583	Stomach
C0339968	Liver	5.952955524623007	1	5.838061458517204	Brain - Hypothalamus
C0004626	Lung	4.59858886703797	36	2.271205370779323	Brain - Cortex
C1318973	Lung	3.778668782111716	11	0.7501766992833256	Lung
C0023241	Spleen	3.5317695724045937	15	1.1949662190142445	Kidney - Medulla
C1112709	Cells - EBV-transformed lymphocytes	8.75259139008754	1	1.5493344278000993	Brain - Amygdala
C0554628	Lung	6.335442404413444	2	2.7898780182270873	Skin - Not Sun Exposed (Suprapubic)
C0023860	Lung	4.466918729230973	16	1.1674185344943315	Brain - Cerebellar Hemisphere
C0043167	Kidney - Medulla	6.799584565790715	5	1.6107258925043544	Prostate
C0155862	Lung	4.326162640503872	32	1.3957581876763205	Adipose - Subcutaneous
C0039128	Small Intestine - Terminal Ileum	3.901079308800113	19	0.7363535606714096	Prostate
C0001144	Vagina	3.416919979807713	15	1.2982255612967708	Pituitary
C0271429	Lung	3.7553781755387767	7	1.7739863250231958	Pituitary
C0032302	Liver	7.244138226842817	3	3.031995046699402	Liver
C0018081	Lung	4.83110598736511	30	1.443149770250387	Colon - Sigmoid
C0025289	Lung	3.959971995654186	54	1.2123234297566454	Muscle - Skeletal
C0008311	Lung	2.9352635258624873	24	0.8532717372608452	Brain - Hippocampus
C0684256	Lung	4.738092841523736	10	1.1110716065838364	Pituitary
C2242472	Lung	6.599935776719477	4	2.7547251824492323	Fallopian Tube
C0042029	Lung	4.669515067996142	78	1.6992003175322772	Cervix - Endocervix
C0393735	Adipose - Subcutaneous	9.143809198965654	1	8.099249183664032	Esophagus - Gastroesophageal Junction
C0004604	Vagina	5.260226204121957	5	1.6487658430531145	Fallopian Tube
C0009088	Lung	2.452544673232521	18	0.7557233524172886	Adrenal Gland
C0003862	Lung	3.9510542793479657	23	1.106430666169869	Brain - Amygdala
C0392171	Testis	4.425058536107006	9	1.3994191121228718	Brain - Frontal Cortex (BA9)
C0026838	Brain - Cerebellum	4.657166892640251	40	0.8212053528249905	Bladder
C0013390	Vagina	4.044844336871377	9	1.706392693994435	Cervix - Ectocervix
C0033893	Cervix - Endocervix	3.5807236035102963	6	1.5202996189851343	Lung
C0149931	Lung	3.0547781462219703	188	0.5469584836425345	Liver
C2973725	Lung	4.203664675071913	147	1.1268108184971117	Colon - Sigmoid
C0242350	Lung	3.3573711001051905	80	0.6783759968001379	Small Intestine - Terminal Ileum
C0024530	Lung	4.17705833004242	437	0.8812347622094623	Fallopian Tube
C0040558	Spleen	3.3801403811823056	42	1.0586595587559624	Artery - Coronary
C0033975	Nerve - Tibial	3.266995110676915	215	0.5047270561911157	Pancreas
C2733595	Lung	4.868962301105662	2	3.1743201628381357	Heart - Atrial Appendage
C0007947	Cells - EBV-transformed lymphocytes	4.439551488096953	4	1.2971886342377594	Kidney - Medulla
C0596298	Pituitary	5.227148044501494	1	4.078836268257405	Fallopian Tube
C0150045	Nerve - Tibial	4.93653429677897	1	1.7607383331225264	Esophagus - Muscularis
C0020651	Thyroid	3.562878163385888	10	0.917864542181202	Artery - Coronary
C0267055	Esophagus - Mucosa	5.264747543406176	8	1.0932544385435063	Fallopian Tube
C0043515	Lung	3.1111486269331823	11	0.9803168838140728	Pituitary
C0017168	Vagina	3.559667305123828	113	0.6948306901971635	Brain - Nucleus accumbens (basal ganglia)
C0027662	Pituitary	3.9187356930842387	54	0.5099257465067146	Heart - Left Ventricle
C0030920	Lung	3.715112445461187	83	1.0987458388632603	Adipose - Visceral (Omentum)
C0013604	Lung	3.714509543210231	44	0.9350108028253747	Brain - Spinal cord (cervical c-1)
C0270549	Brain - Nucleus accumbens (basal ganglia)	3.5022446942108605	25	0.619177580655569	Cervix - Ectocervix
C1269683	Brain - Cerebellum	3.1541519001578115	434	0.5377419708472706	Whole Blood
C0011581	Nerve - Tibial	3.263169037242467	460	0.48490185747826686	Brain - Cerebellum
C0014347	Nerve - Tibial	5.896935453840992	2	1.7510308828979255	Brain - Hippocampus
C0243001	Cells - EBV-transformed lymphocytes	7.066239911917031	1	6.402783256655207	Cells - EBV-transformed lymphocytes
C0032308	Cells - Cultured fibroblasts	9.170933127655173	3	3.924302854254507	Whole Blood
C0031154	Lung	4.485786785761155	92	1.447774701817412	Small Intestine - Terminal Ileum
C0519030	Vagina	4.726241488781276	6	1.9107412097345557	Adipose - Visceral (Omentum)
C0524688	Liver	8.340019197936819	1	8.021950933682213	Brain - Cortex
C0019693	Lung	4.154514081785681	1712	0.8044081323731875	Skin - Not Sun Exposed (Suprapubic)
C0011860	Lung	3.69816531603195	1612	0.5863024219497053	Artery - Aorta
C0085074	Colon - Sigmoid	3.3508322869037834	3	1.722828542631788	Small Intestine - Terminal Ileum
C0015230	Lung	4.229502569970206	211	0.7967281882795993	Brain - Hypothalamus
C0079773	Lung	3.76737047084242	204	0.918063429864219	Testis
C0024138	Spleen	4.217839733162883	270	1.1908519750988797	Brain - Hypothalamus
C0149922	Spleen	8.091726276252277	1	2.6487270680521915	Cervix - Ectocervix
C0011616	Lung	3.708877262515183	26	1.49055383318899	Liver
C0036508	Cells - EBV-transformed lymphocytes	4.3776883063188	7	1.167136660309878	Bladder
C0011615	Lung	3.6314730190517657	427	1.046249607232515	Fallopian Tube
C0020473	Liver	3.8414032242249956	211	1.1090298642833654	Esophagus - Gastroesophageal Junction
C0473527	Liver	7.967656020898613	5	4.757235936804378	Pituitary
C0016053	Lung	3.4256011830496287	35	0.9404327560039278	Whole Blood
C0032768	Spleen	4.258053749748635	13	1.0716890388462645	Liver
C0040252	Esophagus - Mucosa	1.864742806079982	1	1.8137081391857341	Cells - EBV-transformed lymphocytes
C0040262	Brain - Caudate (basal ganglia)	4.871480674563713	3	1.1356056262379868	Cells - Cultured fibroblasts
C0023443	Spleen	4.2875899162061195	97	1.6299220730772475	Cells - EBV-transformed lymphocytes
C0002962	Lung	3.8683701203242884	52	1.3712013233607707	Prostate
C0009324	Lung	3.8370095257592536	722	1.0099362150088265	Brain - Putamen (basal ganglia)
C0015371	Brain - Substantia nigra	3.0391053313829137	8	0.8108741889093549	Brain - Caudate (basal ganglia)
C0036341	Brain - Cerebellum	3.6335880639508082	1687	0.49520312638477426	Brain - Spinal cord (cervical c-1)
C0020514	Pituitary	4.4627079229649915	20	2.4383365415630927	Adipose - Visceral (Omentum)
C0023343	Lung	3.7814104411603937	157	1.1286151230606318	Artery - Tibial
C0011608	Lung	4.184444363677788	35	1.1994353989457123	Artery - Coronary
C0014544	Brain - Cerebellum	3.655509280494082	525	0.8026659945365222	Pancreas
C0014547	Brain - Cerebellar Hemisphere	3.7339134526893103	40	1.7249103406461264	Nerve - Tibial
C0494475	Brain - Frontal Cortex (BA9)	3.250518365627218	13	0.6934446723747913	Minor Salivary Gland
C0014549	Pituitary	3.5089395106786094	20	0.9058910794706971	Cervix - Endocervix
C0035854	Whole Blood	5.3417292503988785	9	2.524191509297285	Muscle - Skeletal
C0022081	Lung	6.2680800207319125	3	1.4569675299674731	Brain - Anterior cingulate cortex (BA24)
C0022073	Lung	6.605158558119713	7	1.7444440710903475	Stomach
C0042164	Lung	4.257067125368112	110	1.1731590061489579	Esophagus - Gastroesophageal Junction
C0010043	Lung	5.103457201934347	14	3.2912427649175093	Thyroid
C0009766	Lung	3.9537517870267673	19	1.4161686914602982	Brain - Anterior cingulate cortex (BA24)
C0006309	Spleen	4.507264094666056	45	1.3561495509670634	Colon - Transverse
C0036472	Adipose - Visceral (Omentum)	5.444219912601731	25	1.0096097294448594	Minor Salivary Gland
C0024286	Cells - EBV-transformed lymphocytes	6.232290406072549	2	1.2294500329833165	Colon - Transverse
C0035793	Ovary	7.544979883255804	1	2.341906729372365	Cervix - Endocervix
C0034362	Lung	5.00541477693023	25	1.9293320885146965	Brain - Anterior cingulate cortex (BA24)
C0001261	Adipose - Subcutaneous	7.562303489385455	1	2.0179251753797987	Breast - Mammary Tissue
C0041471	Brain - Cerebellum	6.85640025044783	2	1.4527993753673654	Brain - Cortex
C0003175	Lung	5.009484808389238	35	0.9943708539205716	Brain - Nucleus accumbens (basal ganglia)
C0008354	Nerve - Tibial	3.3152867772001833	78	0.7182810643356201	Lung
C0041351	Spleen	6.204300986245106	5	1.4679603079417394	Kidney - Medulla
C0031350	Lung	4.324141163735361	20	1.0343173747677725	Heart - Left Ventricle
C0037199	Lung	3.4410159385102688	40	1.386757522266881	Brain - Substantia nigra
C0040592	Lung	3.9952842342825585	60	1.5948676358615446	Uterus
C0006060	Spleen	3.050738192155236	7	1.8618343247450764	Artery - Coronary
C0340354	Spleen	5.263449911777363	6	1.5977614476121267	Brain - Spinal cord (cervical c-1)
C0035585	Spleen	5.671469455365629	3	2.5481330826762516	Bladder
C0155866	Artery - Aorta	4.2305712258172266	2	1.7906860311823918	Brain - Spinal cord (cervical c-1)
C0004771	Artery - Aorta	9.805872822369874	1	4.346737481625894	Uterus
C0029291	Cells - EBV-transformed lymphocytes	6.417717519560555	1	6.092297414005774	Brain - Substantia nigra
C0035021	Lung	3.2405619478978593	14	0.9392095069824697	Testis
C0008149	Lung	3.9439224875022267	81	1.4220647418430423	Colon - Transverse
C0006846	Spleen	3.834968766266582	15	1.0957020801262831	Minor Salivary Gland
C0042998	Whole Blood	4.673929486537814	1	3.6971694107656923	Cervix - Endocervix
C0040028	Lung	4.283748774256286	128	0.9300924160085762	Brain - Hippocampus
C0153633	Nerve - Tibial	3.8640297139866147	122	0.6256833433137192	Pancreas
C0019829	Lung	3.935822216081259	360	0.8733044963361416	Vagina
C0079744	Spleen	3.9466925923556544	479	0.8698363032347691	Brain - Hippocampus
C0024305	Lung	3.8048168354171574	504	0.8907627027748548	Pituitary
C0555198	Lung	4.194098031697059	369	0.7429715544333151	Brain - Hippocampus
C0025294	Spleen	4.048005466691262	15	1.658182849643996	Muscle - Skeletal
C0028242	Cells - EBV-transformed lymphocytes	9.28197869536483	1	2.208566127756864	Pituitary
C0024535	Lung	4.223194693200323	130	1.2536168052961316	Cervix - Endocervix
C0027051	Lung	3.4581341925873845	1139	0.6794518813671542	Nerve - Tibial
C0948089	Lung	4.129534789421082	272	1.0971885800881416	Brain - Hippocampus
C0040038	Liver	3.953420552435379	99	1.1226478965459625	Artery - Coronary
C0040053	Liver	3.782060040753059	132	1.2909839583744098	Artery - Tibial
C0007780	Adipose - Subcutaneous	6.154648012872996	1	3.8497501810508044	Cervix - Endocervix
C0035258	Brain - Cerebellum	4.004073272115997	33	0.8836337720038352	Stomach
C0032285	Lung	4.43821514747564	351	1.3546568264393142	Bladder
C0276089	Lung	5.619105866617872	3	1.7146900189247543	Cervix - Endocervix
C0149725	Spleen	3.173035819693813	14	1.549491221097448	Muscle - Skeletal
C0024115	Lung	4.510382817061912	318	1.488289747775656	Brain - Cerebellar Hemisphere
C0038218	Lung	3.46189414248449	8	1.7157804621553703	Muscle - Skeletal
C1273489	Skin - Not Sun Exposed (Suprapubic)	5.037869774049135	1	3.028674148377357	Brain - Nucleus accumbens (basal ganglia)
C0034067	Lung	5.027345668889511	160	1.4450668610845638	Prostate
C0006266	Brain - Cerebellar Hemisphere	5.798519415973921	2	3.21554232912734	Heart - Atrial Appendage
C0347950	Artery - Aorta	5.09691933751142	6	1.9899527552797975	Esophagus - Muscularis
